trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
,,,,11.324545099999341,None,equal,0.6108782000001156,11.324545099999341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1905,meta-mask,2021.2.3,59.95243373915192,
,,,,,,,,,,11.965187899999364,None,13.532566899999438,None,13.715913299999556,None,14.132830999999896,None,16.717190699999264,None,equal,1.1801370999992287,16.717190699999264,None,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1905,meta-mask,2021.2.3,59.95243373915192,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,16.717190699999264,16.717190699999264,16.717190699999264,16.717190699999264,16.717190699999264,16.717190699999264,16.717190699999264,16.717190699999264,q,2.8386147999999594,18.618024599999444,None,18.418279900000016,19.418348100000003,19.418348100000003,19.451747799999794,19.618438099999366,19.651840300000003,0,imgs/2_1.png,imgs/2_2.png,0.17085195188446256,1,2023_Apr_12_1905,meta-mask,2021.2.3,59.95243373915192,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1.6385245000001305,22.15285270000004,None,21.96970340000007,22.969911499999398,22.95322489999944,22.986591599999883,23.036574899999323,23.069924899999933,1,imgs/3_1.png,imgs/3_2.png,0.043601179305044174,1,2023_Apr_12_1905,meta-mask,2021.2.3,59.95243373915192,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1.6670475000000806,24.120355999999447,None,23.93698719999975,24.937412100000074,24.92074489999959,24.95404409999992,25.104154099999505,25.137474600000132,2,imgs/3_1.png,imgs/3_2.png,0.1445591565726428,1,2023_Apr_12_1905,meta-mask,2021.2.3,59.95243373915192,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.6036967000000004,26.50480089999928,None,26.321721199999956,27.321729299999788,27.305063599999812,27.338471399999435,27.505158999999367,27.538552699999855,3,imgs/4_1.png,imgs/4_2.png,0.16198349722945163,1,2023_Apr_12_1905,meta-mask,2021.2.3,59.95243373915192,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,2.7092522000002646,28.78904109999985,None,28.606056599999647,29.606086400000095,29.58942289999959,29.622761799999353,29.70609229999991,29.739456399999654,4,imgs/3_1.png,imgs/3_2.png,0.09762606363440564,1,2023_Apr_12_1905,meta-mask,2021.2.3,59.95243373915192,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,2.0528005999995003,31.823660299999574,None,31.640287700000044,32.64072549999946,32.624033600000075,32.65737889999946,32.774074399999336,32.80745260000003,5,imgs/3_1.png,imgs/3_2.png,0.11489530628880983,1,2023_Apr_12_1905,meta-mask,2021.2.3,59.95243373915192,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.532105400000546,34.591524800000116,None,34.40848249999999,35.40853849999985,35.3918694999993,35.42526219999945,35.57531589999962,35.608627599999636,6,imgs/1_1.png,imgs/1_2.png,0.15979557762201285,1,2023_Apr_12_1905,meta-mask,2021.2.3,59.95243373915192,
